SELIC,USD_VALOR,ACEITO/OFERTADO,DURACAO,TAXA_ULTIMO_LEILAO,REJEICAO_MERCADO,TAXA
0.02462,3.7206,0.4053333333333333,5929,4.37,0,4.378
0.02462,3.7206,0.3438666666666666,3465,4.22,0,4.21
0.02462,3.7206,0.6561333333333333,2004,4.09,0,4.072
0.02462,3.8129,0.482,13213,4.438,0,4.3988
0.02462,3.8129,0.0666666666666666,5908,4.378,1,4.2875
0.02462,3.8129,0.742,1983,4.072,0,3.998
0.02462,3.8129,0.258,3444,4.21,0,4.1749
0.02462,3.8646,0.33,5894,4.2875,0,4.3875
0.02462,3.8646,0.5476666666666666,13199,4.3988,0,4.5388
0.02462,3.8646,0.532,3430,4.1749,0,4.272
0.02462,3.8646,0.468,1969,3.998,0,4.08
0.02462,3.8563,0.1033333333333333,5880,4.3875,1,4.4488
0.02462,3.8563,0.192,13185,4.5388,0,4.57
0.02462,3.8563,0.6120666666666666,1955,4.08,0,4.14
0.02462,3.8563,0.3,3416,4.272,0,4.36
0.02462,3.9436,0.9098,1941,4.14,0,4.111
0.02462,3.9436,0.0902,3402,4.36,1,4.3983
0.02462,3.9436,0.0533333333333333,13171,4.57,1,4.5588
0.02462,3.9436,0.1633333333333333,5866,4.4488,0,4.48
0.02462,3.988,0.5018,1927,4.111,0,4.05
0.02462,3.988,0.3273333333333333,5852,4.48,0,4.358
0.02462,3.988,0.1336,3388,4.3983,1,4.24
0.02462,3.988,0.1673333333333333,13157,4.5588,0,4.478
0.02462,4.081,0.4653333333333333,5838,4.358,0,4.29
0.02462,4.081,0.2419,3374,4.24,0,4.2588
0.02462,4.081,0.7581,1913,4.05,0,4.019
0.02462,4.081,0.2433333333333333,13143,4.478,0,4.389
0.02462,3.871,0.472,13129,4.389,0,4.0538
0.02462,3.871,0.624,3360,4.2588,0,3.838
0.02462,3.871,0.528,5824,4.29,0,3.9269
0.02462,3.871,0.376,1899,4.019,0,3.6638
0.02462,3.8608,0.7165,1885,3.6638,0,3.3287
0.02462,3.8608,0.469,5810,3.9269,0,3.8088
0.02462,3.8608,0.352,13115,4.0538,0,3.97
0.02462,3.8608,0.2835,3346,3.838,0,3.6
0.02462,3.8564,0.6905,1871,3.3287,0,3.1084
0.02462,3.8564,0.5933333333333334,5796,3.8088,0,3.5599
0.02462,3.8564,0.4066666666666667,13101,3.97,0,3.7788
0.02462,3.8564,0.279,3332,3.6,0,3.42
0.02462,3.7624,0.36,5782,3.5599,0,3.54
0.02462,3.7624,0.6955,1857,3.1084,0,2.8184
0.02462,3.7624,0.3045,3318,3.42,0,3.3
0.02462,3.7624,0.1933333333333333,13087,3.7788,0,3.73
0.02462,3.79,0.1633333333333333,5768,3.54,0,3.52
0.02462,3.79,0.5284,1843,2.8184,0,2.88
0.02462,3.79,0.3566666666666667,13073,3.73,0,3.68
0.02462,3.79,0.4716,3304,3.3,0,3.31
0.022751,3.9736,0.5583333333333333,13059,3.68,0,3.6189
0.022751,3.9736,0.5085,1829,2.88,0,2.788
0.022751,3.9736,0.4416666666666666,5754,3.52,0,3.44
0.022751,3.9736,0.4915,3290,3.31,0,3.2
0.022751,4.1557,0.11,13045,3.6189,1,3.71
0.022751,4.1557,0.452,1815,2.788,0,2.98
0.022751,4.1557,0.18,5740,3.44,0,3.537
0.022751,4.1557,0.21,3276,3.2,0,3.31
0.022751,4.1108,0.065,13031,3.71,1,3.7888
0.022751,4.1108,0.84,1801,2.98,0,2.9688
